"INFLUENCER_ID","CATEGORY_NAME"
"2651","Healthy"
"9051","Healthy"
"9052","Healthy"
"9053","Healthy"
"9054","Healthy"
"9055","Healthy"
"9056","Healthy"
"9057","Healthy"
"9058","Healthy"
"9059","Healthy"
"9060","Healthy"
"9061","Healthy"
"9062","Healthy"
"9063","Healthy"
"9064","Healthy"
"9065","Healthy"
"9066","Healthy"
"9067","Healthy"
"9068","Healthy"
"9069","Healthy"
"9070","Healthy"
"9071","Healthy"
"9072","Healthy"
"9073","Healthy"
"9074","Healthy"
"9075","Healthy"
"9076","Healthy"
"9077","Healthy"
"9078","Healthy"
"9079","Healthy"
"9080","Healthy"
"9081","Healthy"
"9082","Healthy"
"9083","Healthy"
"9084","Healthy"
"9085","Healthy"
"9086","Healthy"
"9087","Healthy"
"9088","Healthy"
"9089","Healthy"
"9090","Healthy"
"9091","Healthy"
"9092","Healthy"
"9093","Healthy"
"9094","Healthy"
"9095","Healthy"
"9096","Healthy"
"9097","Healthy"
"9098","Healthy"
"9099","Healthy"
"9100","Healthy"
"9151","Healthy"
"9152","Healthy"
"9153","Healthy"
"9154","Healthy"
"9155","Healthy"
"9156","Healthy"
"9157","Healthy"
"9158","Healthy"
"9159","Healthy"
"9160","Healthy"
"9161","Healthy"
"9162","Healthy"
"9163","Healthy"
"9164","Healthy"
"9165","Healthy"
"9166","Healthy"
"9167","Healthy"
"9168","Healthy"
"9169","Healthy"
"9170","Healthy"
"9171","Healthy"
"9172","Healthy"
"9173","Healthy"
"9174","Healthy"
"9175","Healthy"
"9176","Healthy"
"9177","Healthy"
"9178","Healthy"
"9179","Healthy"
"9180","Healthy"
"9181","Healthy"
"9182","Healthy"
"9183","Healthy"
"9184","Healthy"
"9185","Healthy"
"9186","Healthy"
"9187","Healthy"
"9188","Healthy"
"9189","Healthy"
"9190","Healthy"
"9191","Healthy"
"9192","Healthy"
"9193","Healthy"
"9194","Healthy"
"9195","Healthy"
"9196","Healthy"
"9197","Healthy"
"9198","Healthy"
"9199","Healthy"
"9200","Healthy"
"9251","Healthy"
"9252","Healthy"
"9253","Healthy"
"9254","Healthy"
"9255","Healthy"
"9256","Healthy"
"9257","Healthy"
"9258","Healthy"
"9259","Healthy"
"9260","Healthy"
"9261","Healthy"
"9262","Healthy"
"9263","Healthy"
"9264","Healthy"
"9265","Healthy"
"9266","Healthy"
"9267","Healthy"
"9268","Healthy"
"9269","Healthy"
"9270","Healthy"
"9271","Healthy"
"9272","Healthy"
"9273","Healthy"
"9274","Healthy"
"9275","Healthy"
"9276","Healthy"
"9277","Healthy"
"9278","Healthy"
"9279","Healthy"
"9280","Healthy"
"9281","Healthy"
"9282","Healthy"
"9283","Healthy"
"9284","Healthy"
"9285","Healthy"
"9286","Healthy"
"9287","Healthy"
"9288","Healthy"
"9289","Healthy"
"9290","Healthy"
"9291","Healthy"
"9292","Healthy"
"9293","Healthy"
"9294","Healthy"
"9295","Healthy"
"9296","Healthy"
"9297","Healthy"
"9298","Healthy"
"9299","Healthy"
"9300","Healthy"
"9351","Healthy"
"9352","Healthy"
"9353","Healthy"
"9354","Healthy"
"9355","Healthy"
"9356","Healthy"
"9357","Healthy"
"9358","Healthy"
"9359","Healthy"
"9360","Healthy"
"9361","Healthy"
"9362","Healthy"
"9363","Healthy"
"9364","Healthy"
"9365","Healthy"
"9366","Healthy"
"9367","Healthy"
"9368","Healthy"
"9369","Healthy"
"9370","Healthy"
"9371","Healthy"
"9372","Healthy"
"9373","Healthy"
"9374","Healthy"
"9375","Healthy"
"9376","Healthy"
"9377","Healthy"
"9378","Healthy"
"9379","Healthy"
"9380","Healthy"
"9381","Healthy"
"9382","Healthy"
"9383","Healthy"
"9384","Healthy"
"9385","Healthy"
"9386","Healthy"
"9387","Healthy"
"9388","Healthy"
"9389","Healthy"
"9390","Healthy"
"9391","Healthy"
"9392","Healthy"
"9393","Healthy"
"9394","Healthy"
"9395","Healthy"
"9396","Healthy"
"9397","Healthy"
"9398","Healthy"
"9399","Healthy"
"9400","Healthy"
"9451","Healthy"
"9452","Healthy"
"9453","Healthy"
"9454","Healthy"
"9455","Healthy"
"9456","Healthy"
"9457","Healthy"
"9458","Healthy"
"9459","Healthy"
"9460","Healthy"
"9461","Healthy"
"9462","Healthy"
"9463","Healthy"
"9464","Healthy"
"9465","Healthy"
"9466","Healthy"
"9467","Healthy"
"9468","Healthy"
"9469","Healthy"
"9470","Healthy"
"9471","Healthy"
"9472","Healthy"
"9473","Healthy"
"9474","Healthy"
"9475","Healthy"
"9476","Healthy"
"9477","Healthy"
"9478","Healthy"
"9479","Healthy"
"9480","Healthy"
"9481","Healthy"
"9482","Healthy"
"9483","Healthy"
"9484","Healthy"
"9485","Healthy"
"9486","Healthy"
"9487","Healthy"
"9488","Healthy"
"9489","Healthy"
"9490","Healthy"
"9491","Healthy"
"9492","Healthy"
"9493","Healthy"
"9494","Healthy"
"9495","Healthy"
"9496","Healthy"
"9497","Healthy"
"9498","Healthy"
"9499","Healthy"
"9500","Healthy"
"9551","Healthy"
"9552","Healthy"
"9553","Healthy"
"9554","Healthy"
"9555","Healthy"
"9556","Healthy"
"9557","Healthy"
"9558","Healthy"
"9559","Healthy"
"9560","Healthy"
"9561","Healthy"
"9562","Healthy"
"9563","Healthy"
"9564","Healthy"
"9565","Healthy"
"9566","Healthy"
"9567","Healthy"
"9568","Healthy"
"9569","Healthy"
"9570","Healthy"
"9571","Healthy"
"9572","Healthy"
"9573","Healthy"
"9574","Healthy"
"9575","Healthy"
"9576","Healthy"
"9577","Healthy"
"9578","Healthy"
"9579","Healthy"
"9580","Healthy"
"9581","Healthy"
"9582","Healthy"
"9583","Healthy"
"9584","Healthy"
"9585","Healthy"
"9586","Healthy"
"9587","Healthy"
"9588","Healthy"
"9589","Healthy"
"9590","Healthy"
"9591","Healthy"
"9592","Healthy"
"9593","Healthy"
"9594","Healthy"
"9595","Healthy"
"9596","Healthy"
"9597","Healthy"
"9598","Healthy"
"9599","Healthy"
"9600","Healthy"
"9651","Healthy"
"9652","Healthy"
"9653","Healthy"
"9654","Healthy"
"9655","Healthy"
"9656","Healthy"
"9657","Healthy"
"9658","Healthy"
"9659","Healthy"
"9660","Healthy"
"9661","Healthy"
"9662","Healthy"
"9663","Healthy"
"9664","Healthy"
"9665","Healthy"
"9666","Healthy"
"9667","Healthy"
