id;status;content;sender_id;discussion_id;CREATED_BY;CREATED_DATE
1;SENT;Global payment violet;1;1;user;2020-10-15T10:18:24.276+02:00
2;OPENED;index;2;1;user;2020-10-15T10:18:24.276+02:00
3;SENT;Dam Fresh leverage;3;1;user;2020-10-15T10:18:24.276+02:00
4;SENT;Falkland Islands (Malvinas) sensor solid state;1;1;user;2020-10-15T10:18:24.276+02:00
5;SENT;Ethiopian Birr;1;1;user;2020-10-15T10:18:24.276+02:00
6;SENT;navigating Bedfordshire online;1;1;user;2020-10-15T10:18:24.276+02:00
7;SENT;Regional;1;2;user;2020-10-15T10:18:24.276+02:00
8;SENT;virtual;1;3;user;2020-10-15T10:18:24.276+02:00
9;OPENED;Generic Tools interface;1;4;user;2020-10-15T10:18:24.276+02:00
10;DISTRIBUTED;hacking;1;5;user;2020-10-15T10:18:24.276+02:00
